brand,model,year,price,mileage,fuel,location,color,source,crawl_date
Honda,City 1.5TOP,2020,430000000,70000,Xăng,Hà Nội,Xanh,bonbanh,2026-01-02
Ford,Explorer Limited,2021,1515000000,71000,Dầu,Hà Nội,Trắng,bonbanh,2026-01-02
Hyundai,Elantra 2.0,2017,385000000,120000,Xăng,Hà Nội,Vàng,bonbanh,2026-01-02
Mazda,1.5,2025,398000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Ford,Transit Tiêu,2023,699000000,40000,Dầu,Khác,Trắng,bonbanh,2026-01-02
Toyota,Alphard 2.4,2025,4510000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Mitsubishi,Xforce GLX,2025,529000000,0,Xăng,TP.HCM,Đen,bonbanh,2026-01-02
Peugeot,GT,2022,845000000,43000,Xăng,TP.HCM,Trắng,bonbanh,2026-01-02
Ford,Mustang Mach-E,2025,2499000000,0,Điện,Hà Nội,Trắng,bonbanh,2026-01-02
Mercedes,Benz V,2022,3499000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Hyundai,SantaFe 2.0L,2012,420000000,80000,Dầu,Hà Nội,Bạc,bonbanh,2026-01-02
Toyota,Fortuner 2.7V,2017,630000000,80000,Xăng,Hà Nội,Đen,bonbanh,2026-01-02
Mercedes,Benz GLC,2016,745000000,90000,Xăng,Hà Nội,Đen,bonbanh,2026-01-02
Ford,EcoSport Titanium,2019,395000000,60000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Toyota,Fortuner 2.4G,2018,685000000,80000,Dầu,Hà Nội,Đen,bonbanh,2026-01-02
Hyundai,SantaFe 2.2L,2011,410000000,80000,Dầu,Hà Nội,Đen,bonbanh,2026-01-02
Ford,Focus 1.8,2009,180000000,90000,Xăng,Hà Nội,Bạc,bonbanh,2026-01-02
Hyundai,Accent 1.4,2022,445000000,20000,Xăng,Hà Nội,Nâu,bonbanh,2026-01-02
Honda,CRV 2.4,2013,425000000,60000,Xăng,Hà Nội,Nâu,bonbanh,2026-01-02
Honda,CRV 2.4,2013,435000000,60000,Xăng,Hà Nội,Bạc,bonbanh,2026-01-02
Honda,CRV 2.4,2011,288000000,160000,Xăng,Hà Nội,Đen,bonbanh,2026-01-02
Hyundai,Creta N,2025,676000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Toyota,Land Cruiser,2025,4580000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Toyota,Yaris 1.3E,2015,370000000,77500,Xăng,TP.HCM,Đỏ,bonbanh,2026-01-02
Mercedes,Benz C,2016,560000000,69000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Peugeot,GT,2022,610000000,55000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Kia,Sonet Premium,2023,565000000,15000,Xăng,Bà Rịa - Vũng Tàu,Xám,bonbanh,2026-01-02
Ford,Ranger Stomtrak,2026,999000000,0,Dầu,Hà Nội,Bạc,bonbanh,2026-01-02
Volkswagen,Viloran Luxury,2025,2288000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Subaru,Forester 2.0i-S,2020,710000000,130000,Xăng,Hà Nội,Đen,bonbanh,2026-01-02
Ford,Ranger Stormtrak,2025,1039000000,0,Điện,TP.HCM,Xám,bonbanh,2026-01-02
Audi,Q2 1.4,2019,839000000,66000,Xăng,TP.HCM,Đen,bonbanh,2026-01-02
Honda,CRV L,2025,1099000000,0,Xăng,TP.HCM,Xanh,bonbanh,2026-01-02
Ford,Everest Platinum,2025,1500000000,0,Điện,Hà Nội,Đen,bonbanh,2026-01-02
Ford,Transit Premium+,2025,1056000000,0,Dầu,TP.HCM,Bạc,bonbanh,2026-01-02
2025,Dongfeng,2025,549000000,0,Điện,TP.HCM,Trắng,bonbanh,2026-01-02
Mercedes,Benz GLC,2023,2338000000,7000,Hybrid,TP.HCM,Trắng,bonbanh,2026-01-02
Toyota,Prado LC250,2025,3405000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Mercedes,Benz S,2015,1220000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Toyota,Vios G,2025,515000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Toyota,Vios 1.5E,2011,135000000,0,Xăng,Hà Nội,Đỏ,bonbanh,2026-01-02
Ford,Everest Titanium,2021,933000000,60000,Điện,Hà Nội,Đen,bonbanh,2026-01-02
Honda,CRV 2.0,2017,510000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Toyota,Fortuner 2.7V,2015,445000000,0,Xăng,Hà Nội,Bạc,bonbanh,2026-01-02
Peugeot,1.6,2015,335000000,115000,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Mercedes,Benz C,2016,655000000,0,Xăng,Hà Nội,Đen,bonbanh,2026-01-02
Hyundai,SantaFe 2.4L,2017,588000000,0,Xăng,Hà Nội,Trắng,bonbanh,2026-01-02
Mazda,Premium,2017,450000000,0,Điện,Hà Nội,Trắng,bonbanh,2026-01-02
Mercedes,Benz C,2021,1080000000,0,Điện,Hà Nội,Trắng,bonbanh,2026-01-02
Vinfast,Lux A,2020,479000000,0,Điện,Hà Nội,Nâu,bonbanh,2026-01-02
